번호,상호,품목,구,동,결재방법,전화번호,주소,데이터기준일자
12617,중원카인테리어,카센타,중원구,하대원동,지류,031-754-9497,경기도 성남시 중원구 시민로 11 (하대원동),2021-01-16
12618,중화루,음식점,분당구,서현1동,모두,031-701-8989,성남시 분당구 중앙공원로40번길 8 1층 156호 (서현동),2021-01-16
12619,중화루,음식점,분당구,서현1동,모두,031-701-8989,"성남시 분당구 중앙공원로40번길 8, 206호 (현대상가)",2021-01-16
12620,중화요리 셰셰,음식점,분당구,구미동,지류,031-713-8833,경기도 성남시 분당구 성남대로 51 (구미동),2021-01-16
12621,중화쿵푸마라탕,음식점,분당구,정자1동,모두,031-000-0000,"성남시 분당구 정자일로 158, 2층 203호(정자동,백궁프라자2)",2021-01-16
12622,쥬노제화,기타(도소매),중원구,상대원2동,지류,031-748-2903,성남시 중원구 희망로 347,2021-01-16
12623,쥬드쁘뻬(JEU DE POUPEE),카페,분당구,정자1동,모바일,031-711-7428,"성남시 분당구 성남대로331번길 3-13, 3층 301호(정자동, 대명제스트빌딩)",2021-01-16
12624,쥬블리,기타(도소매),중원구,성남동,모두,070-8193-8796,"성남시 중원구 산성대로 지하 204-5, B동 라열 26호 (중앙지하상가)",2021-01-16
12625,쥬비코스 르네셀 정자,기타(도소매),분당구,정자동,모두,031-717-7139,경기도 성남시 분당구 정자로 78 107호,2021-01-16
12626,쥬빈의보석파르페,기타(도소매),분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 정자일로 121, A동 14호(정자동, 더샵스타파크)",2021-01-16
12627,쥬스홀릭,음식점,분당구,운중동,지류,031-8016-4567,경기도 성남시 분당구 운중로138번길 24-1 (운중동),2021-01-16
12628,쥬씨,카페,중원구,금광1동,지류,031-747-3435,경기도 성남시 중원구 산성대로 272-1 1층 쥬씨,2021-01-16
12629,쥬씨 이매동점,음식점,분당구,이매2동,지류,031-000-0000,"성남시 분당구 판교로 446, 1층 106호(이매동, 그린프라자)",2021-01-16
12630,쥬씨&차얌,카페,분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 성남대로 389, 1층 106호(정자동, 폴라리스빌딩2)",2021-01-16
12631,쥬씨&차얌 성남터미널점,음식점,분당구,야탑1동,지류,,"성남시 분당구 성남대로925번길 16, 1층 602호",2021-01-16
12632,쥬씨분당상록점,카페,분당구,정자동,모두,031-712-1501,경기도 성남시 분당구 정자로 78 영동프라자1층,2021-01-16
12633,쥬얼리헤어샵,미용,분당구,정자동,모두,031-715-3081,"성남시 분당구 정자로 56, 상록라이프 상가 124번 102호(정자동)",2021-01-16
12634,쥬얼리헤어샵,미용,분당구,정자동,지류,031-715-3081,성남시 분당구 정자로 68번길 16,2021-01-16
12635,쥬쥬네일,미용,분당구,서현2동,지류,,성남시 분당구 돌마로 486번길 12.효자촌 1층 15호,2021-01-16
12636,쥬키즈런 위례신도시점,키즈카페,수정구,위례동,모바일,031-756-5566,"경기도 성남시 수정구 위례광장로 310, A동 1101호(창곡동, 우성트램타워)",2021-01-16
12637,쥬헤어,미용,중원구,금광2동,지류,,경기도 성남시 중원구 자혜로16번길 8 (금광동),2021-01-16
12638,즐거운 어린이집,기타(도소매),분당구,정자3동,모바일,031-715-4027,"성남시 분당구 정자로 112, 정든마을 501-103 19/2(정자동)",2021-01-16
12639,즐거운음악교습소,학원,분당구,서현2동,모바일,031-708-1805,"성남시 분당구 불정로386번길 10, 601-2074(서현동,미래타운A상가)",2021-01-16
12640,즐거운음악교습소,학원,분당구,야탑2동,지류,031-000-0000,"성남시 분당구 판교로 435, 301호(야탑동)",2021-01-16
12641,즐거운치과,병원,분당구,구미동,지류,031-719-2110,경기도 성남시 분당구 미금로 48 오성프라자 304호 즐거운치과,2021-01-16
12642,즐거운피아노학원,학원,중원구,상대원1동,모두,031-735-7667,"성남시 중원구 박석로33번길 14, 4층",2021-01-16
12643,즐겨찾기,기타(도소매),중원구,상대원3동,지류,031-723-8485,"성남시 중원구 희망로344번길 10-2(상대원동,지층)",2021-01-16
12644,지1230학원,학원,중원구,도촌동,모두,031-757-4541,"성남시 중원구 도촌로8번길 11, 504,505호(도촌동, 씨엔씨프라자)",2021-01-16
12645,지가네아구동태찜탕,음식점,수정구,위례동,모두,031-722-2216,"성남시 수정구 위례동로 135-6, 3층 306호",2021-01-16
12646,지구별여행,음식점,분당구,분당동,지류,070-4126-4384,경기도 성남시 분당구 장안로52번길 15 102호,2021-01-16
12647,지구별여행,음식점,분당구,분당동,지류,070-4126-4384,성남시 분당구 장안로52번길 15,2021-01-16
12648,지구주류,기타(도소매),분당구,삼평동,지류,031-628-1000,경기도 성남시 분당구 대왕판교로 660 (삼평동),2021-01-16
12649,지구한바퀴,기타(도소매),분당구,운중동,모두,031-718-0323,"성남시 분당구 하오개로 362, 101호,102호",2021-01-16
12650,지글,음식점,분당구,정자동,지류,031-716-9291,경기도 성남시 분당구 정자일로 135 (정자동),2021-01-16
12651,지금 이 순간,카페,수정구,위례동,지류,031-000-0000,"성남시 수정구 위례서일로3길 19, 1층(창곡동)",2021-01-16
12652,지금보고싶다(모란점),음식점,중원구,성남동,지류,031-758-4002,"성남시 중원구 성남대로1148번길 13, 2층(성남동)",2021-01-16
12653,지나샵,미용,수정구,복정동,지류,031-757-2596,경기도 성남시 수정구 성남대로1416번길 18 (복정동),2021-01-16
12654,지니네일,기타(도소매),중원구,금광2동,모두,031-000-0000,"성남시 중원구 자혜로16번길 61, 1층(금광동)",2021-01-16
12655,지니스(JINNY'S),카페,분당구,구미동,모두,031-713-6430,"성남시 분당구 성남대로43번길 10, 하나이지타워 111(구미동)",2021-01-16
12656,지니약국,약국,수정구,위례동,지류,031-757-2058,경기도 성남시 수정구 헌릉로 993 더퍼스트메디타워 109호,2021-01-16
12657,지니헤어,미용,분당구,수내1동,모두,031-712-2287,"성남시 분당구 내정로 185, 분산상가동 102호(수내동, 양지마을)",2021-01-16
12658,지니헤어,미용,중원구,성남동,모바일,031-000-0000,"성남시 중원구 제일로35번길 34, 1층(성남동)",2021-01-16
12659,지니홈메이드㈜,기타(도소매),분당구,서현1동,모두,031-708-9032,"성남시 분당구 서현로237번길 2, 1층",2021-01-16
12660,지루네삼겹살,음식점,수정구,신흥3동,지류,031-736-1760,경기도 성남시 수정구 산성대로255번길 8-9 (신흥동),2021-01-16
12661,지리산 숯불 흑돼지,음식점,수정구,산성동,지류,031-745-9934,"성남시 수정구 희망로534번길 47, 1층(산성동)",2021-01-16
12662,지리산흑돼지본가,음식점,분당구,정자동,모두,031-713-4435,성남시 분당구 내정로113번길 13(정자동),2021-01-16
12663,지메스수학원,학원,수정구,위례동,모두,02-400-3141,경기도 성남시 수정구 위례광장로 320 IS 센트럴타워 818호 (위례동),2021-01-16
12664,지바고 한의원,한의원,분당구,정자1동,모두,031-712-2112,"성남시 분당구 정자일로 227, 301호(정자동, 백궁지엔느)",2021-01-16
12665,지바트,기타(도소매),분당구,정자동,모두,031-711-0368,경기도 성남시 분당구 백현로144번길 8-1,2021-01-16
12666,지베,기타(도소매),중원구,도촌동,지류,031-758-0199,경기도 성남시 중원구 여수울로29번길 21 (여수동),2021-01-16
12667,지브릭커피단대점,카페,수정구,단대동,모두,031-000-0000,"경기도 성남시 수정구 산성대로 407, 1층(단대동)",2021-01-16
12668,지브인터네셔널,기타(도소매),중원구,도촌동,지류,031-722-0984,경기도 성남시 중원구 성남대로997번길 49-4 1층,2021-01-16
12669,지브인터네셔널,기타(도소매),중원구,도촌동,지류,031-722-0984,성남시 중원구 성남대로997번길 49-4,2021-01-16
12670,지비(GB)푸드,기타(도소매),수정구,태평3동,모두,031-759-7842,성남시 수정구 수정로111번길 6-4,2021-01-16
12671,지성과진솔아이에스영어학원,학원,분당구,수내3동,모두,031-714-0513,"성남시 분당구 불정로 258, 303(수내동,우진프라자)",2021-01-16
12672,지성태권도,학원,분당구,정자동,지류,031-717-2811,경기도 성남시 분당구 느티로 67 (정자동),2021-01-16
12673,지성하우징,기타(도소매),수정구,태평2동,지류,031-723-8850,성남시 수정구 남문로101번길 13-2,2021-01-16
12674,지센 성남은행점,기타(도소매),중원구,은행2동,모두,031-731-1412,경기도 성남시 중원구 산성대로 506 1층 (은행동),2021-01-16
12675,지센성남은행점,기타(도소매),중원구,은행2동,모바일,031-731-1412,"성남시 중원구 산성대로 506, 1층(은행동)",2021-01-16
12676,지센성남태평점,기타(도소매),수정구,태평3동,모두,031-623-5999,성남시 수정구 수정로 127-1,2021-01-16
12677,지수산,기타(도소매),중원구,금광2동,지류,031-745-5332,성남시 중원구 자혜로 64,2021-01-16
12678,지수수학교습소,학원,분당구,이매1동,모두,031-709-7779,경기도 성남시 분당구 이매로 49  3층 (이매동),2021-01-16
12679,지수화풍,미용,수정구,위례동,모바일,031-607-1200,"성남시 수정구 위례광장로 322, 1층 110호(창곡동,아이플렉스)",2021-01-16
12680,지씨엘에듀학원(GCL에듀),학원,분당구,금곡동,모바일,031-000-0000,"성남시 분당구 정자일로 55, 109동304호(금곡동,분당두산위브)",2021-01-16
12681,지아네일,미용,분당구,수내1동,지류,031-000-0000,"성남시 분당구 내정로173번길 11, 603-112(수내동)",2021-01-16
12682,지아니,기타(도소매),분당구,구미1동,지류,031-715-2194,"성남시 분당구 돌마로 80, 2층",2021-01-16
12683,지에스이(GSE)어학원,학원,수정구,위례동,모두,031-751-6678,"성남시 수정구 위례광장로 310, A동 606호(창곡동, 우성트램타워)",2021-01-16
12684,지에스코리아 성남대리점,기타(도소매),중원구,성남동,모두,031-000-0000,경기도 성남시 중원구 성남대로 1157,2021-01-16
12685,지엘 마루지,학원,분당구,정자동,지류,031-602-1552,경기도 성남시 분당구 정자일로 234 태남프라자 303호,2021-01-16
12686,지엘영어도서관,학원,분당구,정자동,모두,031-716-5556,경기도 성남시 분당구 정자일로 234 (정자동),2021-01-16
12687,지엠에이개념원리수학,학원,중원구,금광2동,모두,031-746-9981,"성남시 중원구 자혜로 40, 4층",2021-01-16
12688,지여니,기타(도소매),분당구,수내2동,모두,031-713-2297,"성남시 분당구 내정로174번길 42, 139호 (파크타운 돌고래상가)",2021-01-16
12689,지연헤어,미용,중원구,상대원1동,지류,031-745-6101,경기도 성남시 중원구 박석로 68 1층,2021-01-16
12690,지오뷰티,기타(도소매),수정구,신흥1동,모두,031-758-1005,"성남시 수정구 수정로 172, 1층(신흥동)",2021-01-16
12691,지오살롱,미용,수정구,단대동,모두,031-733-2833,"경기도 성남시 수정구 산성대로437번길 7, 제1층 101호 (단대동, 푸르지오제상가동)",2021-01-16
12692,지오테오,기타(도소매),수정구,수진1동,모두,031-722-5931,경기도 성남시 수정구 수정로 108,2021-01-16
12693,지우 플라워,기타(도소매),분당구,서현1동,지류,031-707-9018,경기도 성남시 분당구 중앙공원로40번길 8 (서현동),2021-01-16
12694,지우아동발달센터,기타(도소매),분당구,삼평동,모바일,031-709-7931,"경기도 성남시 분당구 판교로 375, 705호(삼평동, 메가스페이스)",2021-01-16
12695,지우헤어,미용,분당구,야탑1동,모두,031-000-0000,"경기도 성남시 분당구 장미로48번길 10, 1층 115호(야탑동)",2021-01-16
12696,지우헤어,미용,분당구,야탑1동,모두,031-000-0000,"경기도 성남시 분당구 장미로48번길 10, 1층 115호(야탑동)",2021-01-16
12697,지우헤어,미용,중원구,상대원2동,모두,031-736-2177,성남시 중원구 희망로 359,2021-01-16
12698,지원,음식점,중원구,하대원동,모두,031-751-7936,성남시 중원구 마지로 129(하대원동),2021-01-16
12699,지유가오카브레드 분당정자역점,카페,분당구,정자동,모바일,031-719-7119,"성남시 분당구 성남대로 349, 시그마타워 104호(정자동)",2021-01-16
12700,지유넷,기타(도소매),분당구,금곡동,모두,031-716-4785,"성남시 분당구 미금로 215, 제근린상가동 125호(금곡동,청솔마을)",2021-01-16
12701,지유명차 분당정자점,기타(도소매),분당구,금곡동,모두,031-715-5634,"성남시 분당구 정자일로 55, 108동 113호(금곡동, 분당두산위브)",2021-01-16
12702,지유명차 분당차예관,기타(도소매),분당구,서현1동,지류,031-708-5634,"성남시 분당구 서현로239번길 3-4, 1층(서현동)",2021-01-16
12703,지음아동발달연구소,기타(도소매),분당구,서현1동,모두,031-3808-0633,경기도 성남시 분당구 서현로 170 B동 523호,2021-01-16
12704,지음필라테스,문화·스포츠,분당구,판교동,지류,031-707-1666,경기도 성남시 분당구 운중로 237 Y타워 3층 지음필라테스,2021-01-16
12705,지음필라테스,문화·스포츠,수정구,위례동,모두,031-758-2345,경기도 성남시 수정구 위례광장로 25 5층,2021-01-16
12706,지음필라테스 위례점,문화·스포츠,수정구,위례동,지류,031-728-2345,경기도 성남시 수정구 위례광장로 25 5층 지음필라테스,2021-01-16
12707,지음필라테스 정자점,문화·스포츠,분당구,정자동,지류,031-715-7787,"경기도 성남시 분당구 성남대로331번길 3-9 2층206,207,211호",2021-01-16
12708,지젤(Jeegel),기타(도소매),분당구,서현1동,지류,031-706-7888,"성남시 분당구 돌마로 481, 1층 115호(서현동,분당우성프라자)",2021-01-16
12709,지중해 건강랜드,기타(도소매),수정구,신흥3동,지류,031-741-3838,경기도 성남시 수정구 시민로 138 (신흥동),2021-01-16
12710,지중해설렁탕,음식점,중원구,금광2동,지류,031-736-3737,경기도 성남시 중원구 산성대로 428 1층,2021-01-16
12711,지중해참치,음식점,중원구,금광2동,지류,031-744-1164,경기도 성남시 중원구 산성대로 428 3층,2021-01-16
12712,지코바 신흥1호점,음식점,수정구,신흥2동,모두,031-749-9255,"성남시 수정구 수정로 255, 1층(신흥동)",2021-01-16
12713,지코바치킨,음식점,중원구,성남동,지류,031-607-0014,경기도 성남시 중원구 광명로 89 (성남동),2021-01-16
12714,지킴이체육관,학원,분당구,수내2동,모두,031-717-7697,경기도 성남시 분당구 내정로166번길 7-3 서기빌딩 402호,2021-01-16
12715,지티 수학 교습소,학원,수정구,단대동,모두,031-733-5837,"성남시 수정구 산성대로 405, 2층(단대동)",2021-01-16
12716,지티삼학원,학원,분당구,정자1동,모바일,031-718-0991,"성남시 분당구 정자일로 240, 702(정자동,월드프라자)",2021-01-16
12717,지티지,학원,분당구,서현1동,모두,031-703-7072,"성남시 분당구 중앙공원로 35(서현동, 올림픽스포츠센타2층201호,211호)",2021-01-16
12718,지티지사고력수내수학교습소,학원,분당구,수내1동,모두,031-714-2350,경기도 성남시 분당구 내정로173번길 49 궁전프라자3 213호 지티지사고력수내수학교습소,2021-01-16
12719,지평학원,학원,분당구,정자동,모두,031-716-2816,경기도 성남시 분당구 정자로76번길 5 성남상가 303호(정자동),2021-01-16
12720,지현네달인각,음식점,수정구,위례동,지류,031-752-4881,"성남시 수정구 위례서일로3길 8, 1층",2021-01-16
12721,지현생활용품,기타(도소매),수정구,태평3동,지류,031-757-0554,성남시 수정구 탄리로 97,2021-01-16
12722,지현헤어,미용,수정구,태평2동,모두,031-000-0000,"성남시 수정구 남문로74번길 19-2, 1층(태평동)",2021-01-16
12723,지혜가 굽다,음식점,분당구,야탑3동,지류,031-702-0512,성남시 분당구 매화로48번길 8-1 101호,2021-01-16
12724,지혜숲어린이집,기타(도소매),중원구,상대원1동,모바일,031-747-8843,성남시 중원구 박석로25번길 6-17(상대원동),2021-01-16
12725,지혜의숲사고력학원,학원,수정구,위례동,모두,031-751-0244,"성남시 수정구 위례동로 135, 신성위캐슬타워 703호(창곡동)",2021-01-16
12726,지혜의정원 통합논술학원,학원,분당구,운중동,모두,031-704-1006,경기도 성남시 분당구 운중로 128 3층 301호,2021-01-16
12727,지호한방삼계탕,음식점,분당구,야탑1동,모두,031-704-4064,성남시 분당구 매화로37번길 7-14,2021-01-16
12728,지호한방삼계탕 서현점,음식점,분당구,서현1동,지류,031-8016-3933,경기도 성남시 분당구 새마을로 12 (서현동),2021-01-16
12729,지후아타네호,카페,분당구,판교동,모두,031-8017-0976,"성남시 분당구 운중로277번길 20(판교동, 1층 전체)",2021-01-16
12730,지희네 반찬,반찬,중원구,성남동,모두,031-000-0000,"성남시 중원구 시민로 12-1, 1층(성남동)",2021-01-16
12731,직거래 수산,기타(도소매),수정구,위례동,모두,031-758-8870,"성남시 수정구 위례광장로 21-6, 1층 나-105호(창곡동, 정프라자)",2021-01-16
12732,직거래장터,기타(도소매),분당구,분당동,지류,031-702-4731,성남시 분당구 분당로263번길 24. 상가동 109호,2021-01-16
12733,직접만든 박가네 순대,음식점,분당구,구미1동,모바일,031-714-1410,"성남시 분당구 미금일로86번길 12, 1층(구미동)",2021-01-16
12734,직접만든 박가네순대,음식점,분당구,구미1동,지류,031-714-1410,경기도 성남시 분당구 미금일로86번길 12 1층,2021-01-16
12735,직화쌈밥정식,음식점,분당구,서현1동,모두,031-781-3838,"성남시 분당구 문정로148번길 9, 1층",2021-01-16
12736,진 캐시미어,기타(도소매),분당구,수내1동,모두,031-000-0000,"경기도 성남시 분당구 내정로173번길 11, 603동 127호(수내동, 양지마을)",2021-01-16
12737,진강정,음식점,수정구,위례동,모두,031-000-0000,성남시 수정구 위례광장로 104 1층 1080호,2021-01-16
12738,진광상회,기타(도소매),중원구,성남동,모두,031-000-0000,"경기도 성남시 중원구 둔촌대로69번길 8, 175호(성남동, 모란종합시장)",2021-01-16
12739,진구네식당,음식점,분당구,야탑3동,모두,031-000-0000,"성남시 분당구 야탑로149번길 5, 1층 102호(야탑동)",2021-01-16
12740,진궁,음식점,분당구,야탑1동,모두,031-704-5588,"성남시 분당구 성남대로916번길 5, 2층 201호 일부(야탑동, 관보골든쇼핑스포츠빌딩)",2021-01-16
12741,진궁 운중점,음식점,분당구,운중동,지류,031-8016-8181,"성남시 분당구 운중동125번길 3-5, 1층(운중동)",2021-01-16
12742,진궁숯불구이전문점,음식점,분당구,금곡동,모두,031-718-6800,"성남시 분당구 대왕판교로 102, DK프라자 1층(금곡동)",2021-01-16
12743,진대감 분당점,음식점,분당구,정자1동,모두,031-717-0111,경기도 성남시 분당구 성남대로331번길 3-10 1층 진대감분당점,2021-01-16
12744,진도특산물,기타(도소매),수정구,양지동,모두,031-747-7880,"성남시 수정구 논골로 34, 1층 9호(양지동,통보상가)",2021-01-16
12745,진도한우마을,정육점,분당구,구미동,모두,031-713-5009,성남시 분당구 미금로 45,2021-01-16
12746,진로 할인마트,슈퍼마켓,분당구,구미1동,모두,031-712-4614,"성남시 분당구 미금로 184, 101호",2021-01-16
12747,진로그린식자재마트,슈퍼마켓,수정구,신흥3동,모두,031-747-7011,성남시 수정구 산성대로 291(신흥동),2021-01-16
12748,진로마트,슈퍼마켓,중원구,은행1동,모두,031-742-8791,"경기도 성남시 중원구 자혜로57번길 17-2, 1층(은행동)",2021-01-16
12749,진로마트,슈퍼마켓,분당구,운중동,모두,031-8016-4200,성남시 분당구 운중로 186,2021-01-16
12750,진로마트 2호점,슈퍼마켓,중원구,상대원2동,모두,031-733-0382,성남시 중원구 희망로400번길 14,2021-01-16
12751,진로마트 모란점,슈퍼마켓,중원구,성남동,지류,031-721-5070,성남시 중원구 둔촌대로 159,2021-01-16
12752,진로마트 산성동,슈퍼마켓,수정구,산성동,모두,031-735-5333,"성남시 수정구 수정남로324번길 4-1, 지층1호(산성동,부흥하이츠빌라)",2021-01-16
12753,진로마트 신흥점,슈퍼마켓,수정구,신흥1동,모두,031-721-9025,성남시 수정구 시민로 165,2021-01-16
12754,진로마트 위례점,슈퍼마켓,수정구,위례동,모두,031-000-0000,"성남시 수정구 위례광장로 320,지하1층 101호~105호(창곡동,아이에스센트럴타워)",2021-01-16
12755,진로마트 하대원,슈퍼마켓,중원구,하대원동,지류,031-758-5344,"성남시 중원구 둔촌대로 251, 1층(하대원동)",2021-01-16
12756,진로할인마트,슈퍼마켓,수정구,양지동,모두,031-731-9285,성남시 수정구 논골로24번길 36,2021-01-16
12757,진로할인마트,슈퍼마켓,수정구,태평3동,지류,031-758-0173,"성남시 수정구 탄리로 127,  1층",2021-01-16
12758,진로할인마트,슈퍼마켓,수정구,태평3동,지류,031-758-0173,성남시 수정구 탄리로 127,2021-01-16
12759,진로할인마트,기타(도소매),분당구,구미1동,지류,031-712-4614,"성남시 분당구 미금로 184, 101호",2021-01-16
12760,진로할인마트 (양지2호점),슈퍼마켓,수정구,양지동,모두,031-748-8889,성남시 수정구 산성대로503번길 9,2021-01-16
12761,진로할인마트(두산점),기타(도소매),수정구,신흥2동,지류,031-735-1188,경기도 성남시 수정구 공원로 360 두산상가 24호,2021-01-16
12762,진명 해물명가,음식점,분당구,정자1동,모두,031-726-5557,"성남시 분당구 성남대로331번길 13, 2층 208호(정자동)",2021-01-16
12763,진명족발&칼국수,음식점,수정구,복정동,모두,031-755-8626,"성남시 수정구 성남대로1518번길 10, 101호",2021-01-16
12764,진모터스,기타(도소매),분당구,야탑3동,모두,031-707-5189,경기도 성남시 분당구 판교로711번길 10 1층 잔모터스,2021-01-16
12765,진미 감자탕,음식점,중원구,하대원동,모두,031-756-4778,경기도 성남시 중원구 둔촌대로 285,2021-01-16
12766,진미감자탕,음식점,수정구,신흥1동,모두,031-743-8989,성남시 수정구 시민로175번길 22,2021-01-16
12767,진미복집,음식점,분당구,서현2동,지류,031-702-3700,성남시 분당구 효자길 21.,2021-01-16
12768,진미식당,음식점,수정구,수진1동,모두,031-721-1954,성남시 수정구 제일로110번길 7,2021-01-16
12769,진미식당 서현점,음식점,분당구,서현2동,모두,031-701-3860,"성남시 분당구 돌마로 481, 221-2, 222호 (우성프라자)",2021-01-16
12770,진미식품,기타(도소매),중원구,하대원동,모두,031-754-5236,"성남시 중원구 마지로 118, 하대원공설시장 가동 108호",2021-01-16
12771,진미용실,미용,수정구,태평1동,모두,031-755-4197,성남시 수정구 제일로187번길 12(태평동),2021-01-16
12772,진미정육점,정육점,수정구,산성동,지류,031-744-1132,성남시 수정구 수정로324번길 19,2021-01-16
12773,진미추어탕,음식점,중원구,성남동,모두,031-758-9994,성남시 중원구 성남대로1151번길 5,2021-01-16
12774,진베스트 (미용재료),기타(도소매),수정구,산성동,모두,031-757-7338,"성남시 수정구 산성대로 지하 204-5, B동 다열 19호 (성남지하도상가)",2021-01-16
12775,진보석,귀금속,분당구,서현2동,모두,031-708-7663,"성남시 분당구 불정로376번길 37, 107호",2021-01-16
12776,진복국보리굴비,음식점,분당구,수내1동,모두,031-715-0122,경기도 성남시 분당구 황새울로240번길 10-3 1층,2021-01-16
12777,진부령황태,음식점,중원구,성남동,지류,031-753-6367,성남시 중원구 광명로 126.1층,2021-01-16
12778,진선미 피부관리샵,미용,수정구,태평3동,모두,031-000-0000,"성남시 수정구 수정로119번길 7, 3층(태평동)",2021-01-16
12779,진선미옷수선,기타(도소매),분당구,이매1동,지류,031-714-7235,"성남시 분당구 양현로 126, 111호(이매동, 미림프라자)",2021-01-16
12780,진선미의류,기타(도소매),중원구,상대원3동,지류,031-743-9577,성남시 중원구 희망로326번길 3-12,2021-01-16
12781,진선보쌈,음식점,수정구,신흥3동,모두,031-747-1651,성남시 수정구 산성대로295번길 9-1,2021-01-16
12782,진성삼계탕,음식점,수정구,신흥3동,모바일,031-745-3393,성남시 수정구 산성대로255번길 8-5(신흥동),2021-01-16
12783,진성자동차공업사,기타(도소매),수정구,수진2동,지류,031-753-7336,"경기도 성남시 수정구 제일로 107 수진동1,2층",2021-01-16
12784,진수성찬,음식점,분당구,정자동,모두,031-000-0000,"경기도 성남시 분당구 정자일로 158, 2층 204호(정자동)",2021-01-16
12785,진수성찬,반찬,수정구,태평3동,모두,031-753-7765,성남시 수정구 수정북로 18   1층,2021-01-16
12786,진수성찬,반찬,분당구,수내1동,모두,031-716-2802,성남시 분당구 내정로173번길 11,2021-01-16
12787,진수성찬 정자점,반찬,분당구,정자2동,모두,031-719-0113,"성남시 분당구 내정로 58,116호(정자동,스포라이프 스포츠센터)",2021-01-16
12788,진수학학원,학원,수정구,위례동,모바일,031-000-0000,"성남시 수정구 위례광장로 322, 4층 1호(창곡동,아이플렉스)",2021-01-16
12789,진시골밥상,음식점,분당구,서현2동,지류,031-702-2359,"성남시 분당구 분당로263번길 39, 2층 201-1호(서현동, 레이디파크)",2021-01-16
12790,진아네,음식점,수정구,태평3동,모두,031-000-0000,경기도 성남시 수정구 수정로 109 231호,2021-01-16
12791,진아네사철탕,음식점,수정구,수진1동,지류,031-751-8875,성남시 수정구 제일로 120-1,2021-01-16
12792,진아상회,기타(도소매),중원구,성남동,모두,031-757-8845,경기도 성남시 중원구 광명로 131-3,2021-01-16
12793,진아슈퍼,슈퍼마켓,중원구,상대원1동,모두,031-745-0350,성남시 중원구 박석로57번길 1 (상대원동),2021-01-16
12794,진아트슐레,학원,분당구,서현1동,모두,031-781-3369,"성남시 분당구 중앙공원로31번길 42(서현동, 서현파크플라자 303호)",2021-01-16
12795,진안흑염소,기타(도소매),수정구,태평3동,모두,031-753-4955,"성남시 수정구 수정북로 26,",2021-01-16
12796,진양꼬치,음식점,중원구,금광1동,모바일,031-000-0000,성남시 중원구 금상로57번길 8(금광동),2021-01-16
12797,진영미용실,미용,중원구,금광1동,지류,031-602-4445,경기도 성남시 중원구 산성대로 270-10 1층,2021-01-16
12798,진영슈퍼,슈퍼마켓,중원구,하대원동,모두,031-754-4020,성남시 중원구 마지로155번길 32,2021-01-16
12799,진영식품,기타(도소매),중원구,성남동,지류,031-751-2065,"성남시 중원구 산성대로 228, 1층",2021-01-16
12800,진영약국,약국,분당구,정자동,모두,031-711-5259,"성남시 분당구 내정로17번길 4-11, 118호(정자동, 금산파킹프라자 1층)",2021-01-16
12801,진영족발&손칼국수,음식점,수정구,복정동,모두,031-755-8626,"경기도 성남시 수정구 성남대로1518번길 10, 101호(복정동)",2021-01-16
12802,진영프린팅하우스,기타(도소매),수정구,복정동,모두,031-753-5867,경기도 성남시 수정구 복정로 86 101호 진영프린팅,2021-01-16
12803,진영화원,기타(도소매),분당구,백현동,지류,031-709-7980,성남시 분당구 대왕판교로 386,2021-01-16
12804,진오헤어,미용,수정구,태평4동,모두,031-722-0278,성남시 수정구 시민로246번길 2,2021-01-16
12805,진우동,음식점,분당구,서현1동,지류,031-708-1357,경기도 성남시 분당구 황새울로335번길 8 104호 진우동,2021-01-16
12806,진원모터스,기타(도소매),중원구,하대원동,지류,031-753-2562,경기도 성남시 중원구 마지로 89 (하대원동),2021-01-16
12807,진저리(성남점),기타(도소매),중원구,성남동,모두,031-721-0110,"성남시 중원구 산성대로 지하 204-5, 지하1층 B동 다열 11호(성남동, 중앙지하상가)",2021-01-16
12808,진정살롱,미용,분당구,운중동,모두,031-707-1161,"성남시 분당구 운중로138번길 28-2, 101호(운중동)",2021-01-16
12809,진주,음식점,중원구,금광2동,모두,031-734-6409,성남시 중원구 산성대로448번길 10,2021-01-16
12810,진주마트,슈퍼마켓,수정구,수진1동,모두,031-721-7700,성남시 수정구 산성대로157번길 21,2021-01-16
12811,진주미용실,미용,중원구,상대원1동,모두,031-735-1020,경기도 성남시 중원구 둔촌대로425번길 45-1(상대원동),2021-01-16
12812,진지방순대국,음식점,분당구,야탑1동,모두,031-707-8588,성남시 분당구 야탑로105번길13  1층,2021-01-16
12813,진짜닭,음식점,수정구,위례동,지류,031-757-8442,경기도 성남시 수정구 위례광장로 320 아이에스센트럴타워 2층 209호 진짜닭,2021-01-16
12814,진짜닭,음식점,수정구,위례동,모바일,031-000-0000,"성남시 수정구 위례광장로 320, 2층 209호(창곡동, 위례아이에스센트럴타워 상가)",2021-01-16
12815,진짜돼지,음식점,분당구,삼평동,지류,031-8017-9547,경기도 성남시 분당구 분당내곡로 159 kcc웰츠타워 a동 1층,2021-01-16
12816,진짜배기 명태촌,음식점,분당구,운중동,모두,031-781-9282,"성남시 분당구 운중로138번길 28-5,1층(운중동)",2021-01-16
12817,진짬뽕,음식점,중원구,성남동,모두,031-000-0000,"성남시 중원구 제일로 77, 1층(성남동)",2021-01-16
